  3405   D:   (b) = HD 3359 = -49~138; RV +5k/s.
  3405   D:   (c) Probably optical.
  3460   D:   (a) 7.7,7.9v.
  3460   G:   (a) Member 61 Cyg Group.
  3512   N:   (a) 15 Cet.
  3512   D:   (a) ADS 534B, 13.53V, +0.64(B-V),
  3512   D:   (b) +0.15(U-B), optical?
  3580   S:   (a) Also classified B4IV.
  3580   Var: (a) BB Cet.  Amp. 0.04u, 0.02v, 0.015y on
  3580   Var: (b) Geneva system.  1.480 or 2.94d.
  3821   D:   (a) ADS 566B, 10.02V, +1.22(B-V),
  3821   D:   (b) +1.08:(U-B), dM1, RV+10, +22k/s,
  3821   D:   (c) optical.  Trig. parallax of A,
  3821   D:   (d) +".037+/-7; of B, +".039+/-6.
  3821   Dyn: (a) ".053.
  3950   Var: (a) V486 Cas.  EB, 6.91-6.95V, 5.551d.
  3950   SB:  (a) 5.565d, e 0.09, K$1 26k/s, V$0 -85k/s,
  3950   SB:  (b) m$1sin3i .653, a$1sini 1.98; K$2 88k/s,
  3950   SB:  (c) m$2sin3i .193, a$2sini 6.71.
  3950   RV:  (a) Vitrichenko gives two values for
  3950   RV:  (b) vsini: 40 and 10k/s.  Uncertain if
  3950   RV:  (c) these are for the same star or two
  3950   RV:  (d) components.
  4271   N:   (a) LTT 417.
  4271   D:   (a) LTT 418, 14.56V, +1.66(B-V),
  4271   D:   (b) +1.17(U-B), +1.37(R-I)$E, color class
  4271   D:   (c) m, is CPM at 55", 46~.
  4308   G:   (a) Arcturus Group, member.
  4332   S:   (a) K4II/IIICNIV/V.
  4647   Var: (a) NSV 305.  Lb, amp. 0.5p.
  5459   G:   (a) HII 13.
  5617   Dyn: (a) ".010.
  5638   SB:  (a) 10.418d, e 0.13, K 64.3k/s, V$0
  5638   SB:  (b) -12.9k/s, asini 9.13.
  5659   D:   (a) A, 7.79V, +0.43(B-V), -0.03(U-B), dF6;
  5659   D:   (b) B, 7.85V, +0.44(B-V), -0.04(U-B),
  5659   D:   (c) dF7, at 6", 216~, RV -2.6k/s, PM
  5659   D:   (d) +.023",+.013".  Trig. parallax of A,
